| #  | Codeforces | Problem                              | Concept                     |
| -- | ---------- | ------------------------------------ | --------------------------- |
| 1  | 158A       | Next Round                           | traversal + condition       |
| 2  | 231A       | Team                                 | counting                    |
| 3  | 263A       | Beautiful Matrix                     | 2D array                    |
| 4  | 136A       | Presents                             | array mapping               |
| 5  | 160A       | Twins                                | sorting + greedy            |
| 6  | 339A       | Helpful Maths                        | sorting                     |
| 7  | 266A       | Stones on the Table                  | adjacent elements           |
| 8  | 144A       | Arrival of the General               | min/max + positions         |
| 9  | 155A       | I_love_%username%                    | min/max                     |
| 10 | 116A       | Tram                                 | running maximum             |
| 11 | 230A       | Dragons                              | sorting + simulation        |
| 12 | 450A       | Jzzhu and Children                   | queue                       |
| 13 | 313A       | Ilya and Bank Account                | array/string manipulation   |
| 14 | 313B       | Ilya and Queries                     | prefix technique            |
| 15 | 520B       | Two Buttons                          | greedy/BFS idea             |
| 16 | 977B       | Two-gram                             | frequency                   |
| 17 | 43A        | Football                             | frequency map               |
| 18 | 236A       | Boy or Girl                          | distinct elements           |
| 19 | 228A       | Is your horseshoe on the other hoof? | Set                         |
| 20 | 520A       | Pangram                              | Set/frequency               |
| 21 | 363B       | Fence                                | sliding window              |
| 22 | 381A       | Sereja and Dima                      | two pointers                |
| 23 | 580A       | Kefa and First Steps                 | consecutive sequence        |
| 24 | 702A       | Maximum Increase                     | subarray                    |
| 25 | 706B       | Interesting drink                    | binary search               |
| 26 | 474B       | Worms                                | prefix sums + binary search |
| 27 | 327A       | Flipping Game                        | maximum subarray            |
| 28 | 276C       | Little Girl and Problem on Trees     | range/prefix                |
| 29 | 433B       | Kuriyama Mirai's Stones              | prefix sums                 |
| 30 | 160B       | Unusual Product                      | array manipulation          |
| 31 | 1183C      | Nearest Interesting Number           | arithmetic                  |
| 32 | 1209D      | Cow and Snacks                       | graph/set                   |
| 33 | 1399B      | Gifts Fixing                         | arrays + greedy             |
| 34 | 1470A      | Strange Birthday Party               | sorting/greedy              |
| 35 | 1490B      | Balanced Substring                   | frequency                   |
| 36 | 1512A      | Spy Detected!                        | frequency                   |
| 37 | 1538B      | Friends and Candies                  | counting                    |
| 38 | 1560A      | Dislike of Threes                    | sequence                    |
| 39 | 1690B      | Array Decrements                     | arrays                      |
| 40 | 1791C      | Prepend and Append                   | two pointers                |
